Address_Line1,Address_Line2,City,Company,Contact,Country,Full_Time_Employees,Industry,Sector,State,Ticker,Website,Zipcode
One Franklin Parkway, ,San Mateo,Franklin Resources,650-312-2000,United States,"9,500",Asset Management,Financial Services,CA,BEN,http://www.franklinresources.com,94403
240 Greenwich Street, ,New York,The Bank of New York Mellon,212-495-1784,United States,"48,400",Asset Management,Financial Services,NY,BK,http://www.bnymellon.com,10286
130 Royall Street, ,Canton,Northern Trust Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,NTRS,http://www.dunkinbrands.com,02021
3850 Hamlin Road, ,Auburn Hills,BorgWarner,248 754 9200,United States,"29,000",Auto Parts,Consumer Cyclical,MI,BWA,http://www.borgwarner.com,48326
One American Road, ,Dearborn,Ford Motor Company,313 322 3000,United States,"190,000",Auto Manufacturers,Consumer Cyclical,MI,F,http://www.ford.com,48126
130 Royall Street, ,Canton,General Motors,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,GM,http://www.dunkinbrands.com,02021
2635 East Millbrook Road, ,Raleigh,Advance Auto Parts,540 362 4911,United States,"39,000",Specialty Retail,Consumer Cyclical,NC,AAP,http://www.advanceautoparts.com,27604
50 Northern Avenue, ,Boston,Vertex Pharmaceuticals Inc,617 341 6100,United States,"3,000",Biotechnology,Healthcare,MA,VRTX,http://www.vrtx.com,02210
225 Binney Street, ,Cambridge,Biogen Inc.,617 679 2000,United States,"7,400",Drug Manufacturers—General,Healthcare,MA,BIIB,http://www.biogen.com,02142
333 Lakeside Drive, ,Foster City,Gilead Sciences,650-574-3000,United States,"11,800",Drug Manufacturers—General,Healthcare,CA,GILD,http://www.gilead.com,94404
One Amgen Center Drive, ,Thousand Oaks,Amgen Inc.,805 447 1000,United States,"23,400",Drug Manufacturers—General,Healthcare,CA,AMGN,http://www.amgen.com,91320-1799
777 Old Saw Mill River Road, ,Tarrytown,Regeneron Pharmaceuticals,914 847 7000,United States,"8,142",Biotechnology,Healthcare,NY,REGN,http://www.regeneron.com,10591
1801 Augustine Cut-Off, ,Wilmington,Incyte,302 498 6700,United States,"1,456",Biotechnology,Healthcare,DE,INCY,http://www.incyte.com,19803
121 Seaport Boulevard, ,Boston,Alexion Pharmaceuticals,475 230 2596,United States,"3,082",Biotechnology,Healthcare,MA,ALXN,http://www.alexion.com,02210
1801 California Street,Suite 4600,Denver,Molson Coors Beverage Company,303 927 2337,United States,"17,700",Beverages—Brewers,Consumer Defensive,CO,TAP,http://www.molsoncoors.com,80202
8403 Colesville Road, ,Silver Spring,"Discovery, Inc. (Class C)",240-662-2000,United States,"9,200",Entertainment,Communication Services,MD,DISCK,http://corporate.discovery.com,20910
8403 Colesville Road, ,Silver Spring,"Discovery, Inc. (Class A)",240-662-2000,United States,"9,200",Entertainment,Communication Services,MD,DISCA,http://corporate.discovery.com,20910
130 Royall Street, ,Canton,Johnson Controls International,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,JCI,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Carrier Global,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CARR,http://www.dunkinbrands.com,02021
17450 College Parkway, ,Livonia,Masco Corp.,313 274 7400,United States,"22,000",Building Products & Equipment,Industrials,MI,MAS,http://masco.com,48152
520 Lake Cook Road, ,Deerfield,Fortune Brands Home & Security,847 484 4400,United States,"24,700","Furnishings, Fixtures & Appliances",Consumer Cyclical,IL,FBHS,http://www.fbhs.com,60015
130 Royall Street, ,Canton,Trane Technologies plc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TT,http://www.dunkinbrands.com,02021
11270 West Park Place,Suite 170 PO Box 245008,Milwaukee,A.O. Smith Corp,414 359 4000,United States,"15,100",Specialty Industrial Machinery,Industrials,WI,AOS,http://www.aosmith.com,53224-9508
130 Royall Street, ,Canton,Fastenal Co,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,FAST,http://www.dunkinbrands.com,02021
9601 South Meridian Boulevard, ,Englewood,Dish Network,303-723-1000,United States,"16,000",Entertainment,Communication Services,CO,DISH,http://www.dish.com,80112
400 Atlantic Street, ,Stamford,Charter Communications,203-905-7801,United States,"95,100",Entertainment,Communication Services,CT,CHTR,http://corporate.charter.com,06901
One Comcast Center,1701 JFK Boulevard,Philadelphia,Comcast Corp.,215-286-1700,United States,"190,000",Entertainment,Communication Services,PA,CMCSA,http://corporate.comcast.com,19103-2838
3600 Las Vegas Boulevard South, ,Las Vegas,MGM Resorts International,702-693-7120,United States,"63,000",Resorts & Casinos,Consumer Cyclical,NV,MGM,http://www.mgmresorts.com,89109
3131 Las Vegas Boulevard South, ,Las Vegas,Wynn Resorts Ltd,702-770-7555,United States,"30,200",Resorts & Casinos,Consumer Cyclical,NV,WYNN,http://www.wynnresorts.com,89109
3355 Las Vegas Boulevard South, ,Las Vegas,Las Vegas Sands,702-414-1000,United States,"50,000",Resorts & Casinos,Consumer Cyclical,NV,LVS,http://www.sands.com,89109
2211 H.H. Dow Way, ,Midland,Dow Inc.,989 636 1000,United States,"36,500",Chemicals,Basic Materials,MI,DOW,http://www.dow.com,48674
1133 Innovation Way, ,Sunnyvale,Juniper Networks,408 745 2000,United States,"9,838",Communication Equipment,Technology,CA,JNPR,http://www.juniper.net,94089
801 5th Avenue, ,Seattle,F5 Networks,206-272-5555,United States,"5,786",Software—Infrastructure,Technology,WA,FFIV,http://www.f5.com,98104
500 West Monroe Street,Suite 4400,Chicago,Motorola Solutions Inc.,847 576 5000,United States,"17,000",Communication Equipment,Technology,IL,MSI,http://www.motorolasolutions.com,60661
130 Royall Street, ,Canton,Arista Networks,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ANET,http://www.dunkinbrands.com,02021
170 West Tasman Drive, ,San Jose,Cisco Systems,408 526 4000,United States,"77,500",Communication Equipment,Technology,CA,CSCO,http://www.cisco.com,95134
7601 Penn Avenue South, ,Richfield,Best Buy Co. Inc.,612 291 1000,United States,"125,000",Specialty Retail,Consumer Cyclical,MN,BBY,http://investors.bestbuy.com/investor-relations/overview/default.aspx,55423
2800 Post Oak Boulevard,Suite 2600,Houston,Quanta Services Inc.,713-629-7600,United States,"40,300",Engineering & Construction,Industrials,TX,PWR,http://www.quantaservices.com,77056
1999 Bryan Street,Suite 1200,Dallas,Jacobs Engineering Group,214 583 8500,United States,"55,000",Engineering & Construction,Industrials,TX,J,http://www.jacobs.com,75201
777 - 106th Avenue N.E., ,Bellevue,PACCAR Inc.,425 468 7400,United States,"27,000",Farm & Heavy Construction Machinery,Industrials,WA,PCAR,http://www.paccar.com,98004
30 Isabella Street, ,Pittsburgh,Wabtec Corporation,412 825 1000,United States,"27,500",Railroads,Industrials,PA,WAB,http://www.wabtec.com,15212
510 Lake Cook Road,Suite 100,Deerfield,Caterpillar Inc.,224-551-4000,United States,"102,300",Farm & Heavy Construction Machinery,Industrials,IL,CAT,http://www.caterpillar.com,60015
130 Royall Street, ,Canton,Vulcan Materials,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,VMC,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Martin Marietta Materials,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MLM,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Garmin Ltd.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,GRMN,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,American Express Co,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,AXP,http://www.dunkinbrands.com,02021
2500 Lake Cook Road, ,Riverwoods,Discover Financial Services,224-405-0900,United States,"17,200",Credit Services,Financial Services,IL,DFS,http://www.discover.com,60015
1680 Capital One Drive, ,McLean,Capital One Financial,703-720-1000,United States,"52,500",Credit Services,Financial Services,VA,COF,http://www.capitalone.com,22102
130 Royall Street, ,Canton,Synchrony Financial,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,SYF,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Freeport-McMoRan Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,FCX,http://www.dunkinbrands.com,02021
2000 Purchase Street, ,Purchase,Mastercard Inc.,914-249-2000,United States,"18,600",Credit Services,Financial Services,NY,MA,http://www.mastercard.com,10577
663 West Highway 60,PO Box 807,Monett,Jack Henry & Associates,417-235-6652,United States,"6,717",Information Technology Services,Technology,MO,JKHY,http://www.jackhenry.com,65708
3280 Peachtree Road,Suite 2400,Atlanta,FleetCor Technologies Inc,770-449-0479,United States,"8,700",Information Technology Services,Technology,GA,FLT,http://www.fleetcor.com,30305
911 Panorama Trail South, ,Rochester,Paychex Inc.,585-385-6666,United States,"15,600",Staffing & Employment Services,Industrials,NY,PAYX,http://www.paychex.com,14625-2396
3550 Lenox Road, ,Atlanta,Global Payments Inc.,770-829-8000,United States,"24,000",Specialty Business Services,Industrials,GA,GPN,http://www.globalpaymentsinc.com,30326
601 Riverside Avenue, ,Jacksonville,Fidelity National Information Services,904-438-6000,United States,"55,000",Information Technology Services,Technology,FL,FIS,http://www.fisglobal.com,32204
130 Royall Street, ,Canton,Visa Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,V,http://www.dunkinbrands.com,02021
7001 East Belleview Avenue, ,Denver,Western Union Co,720-332-1000,United States,"11,500",Credit Services,Financial Services,CO,WU,http://www.westernunion.com,80237
5 Dakota Drive,Suite 300,Lake Success,Broadridge Financial Solutions,516-472-5400,United States,"12,000",Information Technology Services,Technology,NY,BR,http://www.broadridge.com,11042
2211 North First Street, ,San Jose,PayPal,408-967-1000,United States,"23,200",Credit Services,Financial Services,CA,PYPL,http://www.paypal.com,95131
255 Fiserv Drive, ,Brookfield,Fiserv Inc,262-879-5000,United States,"44,000",Information Technology Services,Technology,WI,FISV,http://www.fiserv.com,53045
Building 100,207 High Point Drive,Victor,Constellation Brands,585 678 7100,United States,"9,000",Beverages—Wineries & Distilleries,Consumer Defensive,NY,STZ,http://www.cbrands.com,14564
130 Royall Street, ,Canton,Brown-Forman Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,BF.B,http://www.dunkinbrands.com,02021
500 West Madison Street,Suite 2800,Chicago,LKQ Corporation,312 621 1950,United States,"51,000",Auto Parts,Consumer Cyclical,IL,LKQ,http://www.lkqcorp.com,60661
130 Royall Street, ,Canton,Comerica Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CMA,http://www.dunkinbrands.com,02021
800 Nicollet Mall, ,Minneapolis,U.S. Bancorp,651-466-3000,United States,"70,000",Banks—Regional,Financial Services,MN,USB,http://www.usbank.com,55402
Bank of America Corporate Center,100 North Tryon Street,Charlotte,Bank of America Corp,704-386-5681,United States,"211,225",Banks—Diversified,Financial Services,NC,BAC,http://www.bankofamerica.com,28255
420 Montgomery Street, ,San Francisco,Wells Fargo,866-249-3302,United States,"274,900",Banks—Diversified,Financial Services,CA,WFC,http://www.wellsfargo.com,94104
130 Royall Street, ,Canton,Citigroup Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,C,http://www.dunkinbrands.com,02021
383 Madison Avenue, ,New York,JPMorgan Chase & Co.,212-270-6000,United States,"256,358",Banks—Diversified,Financial Services,NY,JPM,http://www.jpmorganchase.com,10179
200 South Wilcox Drive, ,Kingsport,Eastman Chemical,423 229 2000,United States,"14,500",Chemicals,Basic Materials,TN,EMN,http://www.eastman.com,37662
14185 Dallas Parkway,Suite 300,Dallas,Copart Inc,972 391 5000,United States,"7,600",Specialty Business Services,Industrials,TX,CPRT,http://www.copart.com,75254
6800 Cintas Boulevard,PO Box 625737,Cincinnati,Cintas Corporation,513 459 1200,United States,"40,000",Specialty Business Services,Industrials,OH,CTAS,http://www.cintas.com,45262
130 Royall Street, ,Canton,Walgreens Boots Alliance,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,WBA,http://www.dunkinbrands.com,02021
80 Park Plaza, ,Newark,Public Service Enterprise Group (PSEG),973-430-7000,United States,"12,992",Utilities—Diversified,Utilities,NJ,PEG,http://www.pseg.com,07102
"30 Ivan Allen Jr. Boulevard, N.W.", ,Atlanta,Southern Company,404-506-5000,United States,"27,943",Utilities—Regulated Electric,Utilities,GA,SO,http://www.southerncompany.com,30308
76 South Main Street, ,Akron,FirstEnergy Corp,800-736-3402,United States,"12,000",Utilities—Diversified,Utilities,OH,FE,http://www.firstenergycorp.com,44308
1200 Main Street, ,Kansas City,Evergy,816-556-2200,United States,"4,617",Utilities—Regulated Electric,Utilities,MO,EVRG,http://www.evergyinc.com,64105
639 Loyola Avenue, ,New Orleans,Entergy Corp.,504-576-4000,United States,"13,600",Utilities—Diversified,Utilities,LA,ETR,http://www.entergy.com,70113
2244 Walnut Grove Avenue,PO Box 976,Rosemead,Edison Int'l,626-302-2222,United States,"12,937",Utilities—Regulated Electric,Utilities,CA,EIX,http://www.edison.com,91770
550 South Tryon Street, ,Charlotte,Duke Energy,704-382-3853,United States,"29,000",Utilities—Regulated Electric,Utilities,NC,DUK,http://www.duke-energy.com,28202-1803
120 Tredegar Street, ,Richmond,Dominion Energy,804-819-2000,United States,"19,100",Utilities—Diversified,Utilities,VA,D,http://www.dominionenergy.com,23219
130 Royall Street, ,Canton,PPL Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,PPL,http://www.dunkinbrands.com,02021
1 Riverside Plaza, ,Columbus,American Electric Power,614-716-1000,United States,"17,408",Utilities—Regulated Electric,Utilities,OH,AEP,http://www.aep.com,43215-2373
130 Royall Street, ,Canton,Consolidated Edison,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ED,http://www.dunkinbrands.com,02021
231 West Michigan Street, ,Milwaukee,WEC Energy Group,414-221-2345,United States,"7,500",Utilities—Regulated Electric,Utilities,WI,WEC,http://www.wecenergygroup.com,53203
130 Royall Street, ,Canton,Alliant Energy Corp,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,LNT,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Emerson Electric Company,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,EMR,http://www.dunkinbrands.com,02021
1100 Cassatt Road, ,Berwyn,AMETEK Inc.,610 647 2121,United States,"18,100",Specialty Industrial Machinery,Industrials,PA,AME,http://www.ametek.com,19312-1177
1201 South 2nd Street, ,Milwaukee,Rockwell Automation Inc.,414 382 2000,United States,"23,000",Specialty Industrial Machinery,Industrials,WI,ROK,http://www.rockwellautomation.com,53204
130 Royall Street, ,Canton,Amphenol Corp,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,APH,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Corning Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,GLW,http://www.dunkinbrands.com,02021
5420 Wade Park Boulevard,Suite 206,Raleigh,Vontier,984 247 8308,United States,"8,400",Scientific & Technical Instruments,Technology,NC,VNT,http://www.vontier.com,27607
3 Overlook Point, ,Lincolnshire,Zebra Technologies,847 634 6700,United States,"8,200",Communication Equipment,Technology,IL,ZBRA,http://www.zebra.com,60069
130 Royall Street, ,Canton,FLIR Systems,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,FLIR,http://www.dunkinbrands.com,02021
1400 Fountaingrove Parkway, ,Santa Rosa,Keysight Technologies,800 829 4444,United States,"13,800",Scientific & Technical Instruments,Technology,CA,KEYS,http://www.keysight.com,95403-1738
50 Old Webster Road, ,Oxford,IPG Photonics Corp.,508 373 1100,United States,"5,960",Semiconductor Equipment & Materials,Technology,MA,IPGP,http://www.ipgphotonics.com,01540
130 Royall Street, ,Canton,TE Connectivity Ltd.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TEL,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Republic Services Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,RSG,http://www.dunkinbrands.com,02021
"2170 Piedmont Road, NE", ,Atlanta,Rollins Inc.,404 888 2000,United States,"14,952",Personal Services,Consumer Cyclical,GA,ROL,http://www.rollins.com,30324
1001 Fannin Street,Suite 4000,Houston,Waste Management Inc.,713-512-6200,United States,"44,900",Waste Management,Industrials,TX,WM,http://www.wm.com,77002
130 Royall Street, ,Canton,The Mosaic Company,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MOS,http://www.dunkinbrands.com,02021
2929 Walnut Street, ,Philadelphia,FMC Corporation,215-299-6000,United States,"6,400",Agricultural Inputs,Basic Materials,PA,FMC,http://www.fmc.com,19104
4 Parkway North,Suite 400,Deerfield,CF Industries Holdings Inc,847 405 2400,United States,"3,000",Agricultural Inputs,Basic Materials,IL,CF,http://www.cfindustries.com,60015
974 Centre Road, ,Wilmington,Corteva,302 774 1000,United States,"21,000",Agricultural Inputs,Basic Materials,DE,CTVA,http://www.corteva.com,19805
130 Royall Street, ,Canton,Cboe Global Markets,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CBOE,http://www.dunkinbrands.com,02021
55 Hudson Yards,Floor 15,New York,MarketAxess,212-813-6000,United States,561,Capital Markets,Financial Services,NY,MKTX,http://www.marketaxess.com,10001
130 Royall Street, ,Canton,MSCI Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MSCI,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,"Nasdaq, Inc.",781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,NDAQ,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Moody's Corp,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MCO,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Intercontinental Exchange,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ICE,http://www.dunkinbrands.com,02021
20 South Wacker Drive, ,Chicago,CME Group Inc.,312-930-1000,United States,"4,360",Financial Data & Stock Exchanges,Financial Services,IL,CME,http://www.cmegroup.com,60606
55 Water Street, ,New York,"S&P Global, Inc.",212-438-1000,United States,"22,500",Financial Data & Stock Exchanges,Financial Services,NY,SPGI,http://www.spglobal.com,10041
130 Royall Street, ,Canton,Sysco Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,SYY,http://www.dunkinbrands.com,02021
1014 Vine Street, ,Cincinnati,Kroger Co.,513 762 4000,United States,"500,000",Grocery Stores,Consumer Defensive,OH,KR,http://www.thekrogerco.com,45202
Three Lincoln Centre,Suite 1800 5430 LBJ Freeway,Dallas,Atmos Energy,972-934-9227,United States,"4,776",Utilities—Regulated Gas,Utilities,TX,ATO,http://www.atmosenergy.com,75240
100 Mission Ridge, ,Goodlettsville,Dollar General,615 855 4000,United States,"143,000",Discount Stores,Consumer Defensive,TN,DG,http://www.dollargeneral.com,37072
