Address_Line1,Address_Line2,City,Company,Contact,Country,Full_Time_Employees,Industry,Sector,State,Ticker,Website,Zipcode
8000 South Federal Way, ,Boise,Micron Technology,208 368 4000,United States,"40,000",Semiconductors,Technology,ID,MU,http://www.micron.com,83716-9632
5221 California Avenue, ,Irvine,Skyworks Solutions,949-231-3000,United States,"9,000",Semiconductors,Technology,CA,SWKS,http://www.skyworksinc.com,92617
12500 TI Boulevard, ,Dallas,Texas Instruments,214 479 3773,United States,"29,768",Semiconductors,Technology,TX,TXN,http://www.ti.com,75243
2788 San Tomas Expressway, ,Santa Clara,Nvidia Corporation,408 486 2000,United States,"13,775",Semiconductors,Technology,CA,NVDA,http://www.nvidia.com,95051
1320 Ridder Park Drive, ,San Jose,Broadcom Inc.,408 433 8000,United States,"19,000",Semiconductors,Technology,CA,AVGO,http://www.broadcom.com,95131
2100 Logic Drive, ,San Jose,Xilinx,408 559 7778,United States,"4,891",Semiconductors,Technology,CA,XLNX,http://www.xilinx.com,95124
5775 Morehouse Drive, ,Washington,QUALCOMM Inc.,858 587 1121,United States,"37,000",Semiconductors,Technology,DC,QCOM,http://www.qualcomm.com,20006
2200 Mission College Boulevard, ,Santa Clara,Intel Corp.,408 765 8080,United States,"111,300",Semiconductors,Technology,CA,INTC,http://www.intel.com,95054-1549
899 Kifer Road, ,Sunnyvale,Fortinet,408-235-7700,United States,"7,756",Software—Infrastructure,Technology,CA,FTNT,http://www.fortinet.com,94086
One Microsoft Way, ,Redmond,Microsoft Corp.,425-882-8080,United States,"163,000",Software—Infrastructure,Technology,WA,MSFT,http://www.microsoft.com,98052-6399
2225 Lawson Lane, ,Santa Clara,ServiceNow,408-501-8550,United States,"11,901",Software—Application,Technology,CA,NOW,http://www.servicenow.com,95054
1501 Page Mill Road, ,Palo Alto,HP Inc.,650 857 1501,United States,"56,000",Computer Hardware,Technology,CA,HPQ,http://www.hp.com,94304
1395 Crossman Avenue, ,Sunnyvale,NetApp,408 822 6000,United States,"10,800",Computer Hardware,Technology,CA,NTAP,http://www.netapp.com,94089
One Apple Park Way, ,Cupertino,Apple Inc.,408-996-1010,United States,"137,000",Consumer Electronics,Technology,CA,AAPL,http://www.apple.com,95014
201 Merritt 7,PO Box 4505,Norwalk,Xerox,203 968 3000,United States,"26,100",Information Technology Services,Technology,CT,XRX,http://www.xerox.com,06851-1056
